Country Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,9.57047E+12,1.04756E+13,1.10616E+13,1.12333E+13,1.23105E+13,1.38949E+13,1.428E+13,1.46877E+13,1.78205E+13,1.78818E+13
France,2.81608E+12,2.86124E+12,2.44248E+12,2.47041E+12,2.58887E+12,2.78158E+12,2.72279E+12,2.64793E+12,2.96643E+12,2.7963E+12
Germany,3.80809E+12,3.9658E+12,3.42357E+12,3.53778E+12,3.76309E+12,4.05201E+12,3.95721E+12,3.94014E+12,4.3483E+12,4.1636E+12
Japan,5.21233E+12,4.89699E+12,4.44493E+12,5.00368E+12,4.93084E+12,5.04088E+12,5.11799E+12,5.05559E+12,5.03462E+12,4.25641E+12
Korea,1.37063E+12,1.48449E+12,1.46604E+12,1.49968E+12,1.62307E+12,1.72537E+12,1.65142E+12,1.64431E+12,1.81843E+12,1.67392E+12
United Kingdom,2.78485E+12,3.06471E+12,2.92791E+12,2.68911E+12,2.68015E+12,2.87134E+12,2.85141E+12,2.69678E+12,3.14332E+12,3.11404E+12
United States,1.68807E+13,1.76081E+13,1.8295E+13,1.88049E+13,1.96121E+13,2.06565E+13,2.154E+13,2.13541E+13,2.36812E+13,2.60069E+13
