Office,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,10367,12334,14812,16214,20372,19480,19598,20073,22475,23598
France,155,181,192,243,217,196,227,202,181,159
Germany,346,379,519,575,525,548,473,501,448,434
Japan,9131,8797,9171,8542,8852,6998,6982,6807,6117,5218
Republic of Korea,4601,5847,5922,5548,5268,4213,3965,4289,4593,5062
United Kingdom,253,309,229,210,286,251,190,229,205,250
United States of America,17768,20943,22825,24810,24282,22941,23911,23034,21218,19610
