Country Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,45.8,47.9,50.3,53.2,54.3,59.2,64.0809,70.0528,73.0532,75.6113
France,81.9198,83.7511,78.006,79.2698,80.5025,82.0432,83.3397,84.7064,86.0955,85.3333
Germany,84.17,86.1937,87.5898,84.1652,84.3942,87.0371,88.1345,89.8129,91.4306,91.6298
Japan,88.2194,89.1068,91.058,93.1827,91.7265,88.7464,92.7304,90.2195,82.9141,84.9234
Korea,84.77,87.5568,89.8963,92.843,95.0694,96.0229,96.1576,96.5051,97.5713,97.1686
United Kingdom,89.8441,91.6133,92.0003,94.7758,90.4246,90.692,92.5166,94.8182,95.2591,95.3412
United States,71.4,73,74.5542,85.5444,87.2749,88.4989,89.4303,96.5768,96.7792,97.1299
